Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Cluster,Price Range
Nissan,X-Trail Tekna,1.5L Turbo Hybrid,1497.0,204.0,190.0,8.0,43000.0,Hybrid,5,305.0,2,Low (<50k)
Nissan,Skyline 400R,3.0L Twin-Turbo V6,2997.0,400.0,250.0,4.5,70000.0,Petrol,5,475.0,0,Medium (50k-100k)
Nissan,Infiniti G37*,3.7L V6,3696.0,328.0,250.0,5.5,42000.0,Petrol,5,365.0,0,Low (<50k)
Nissan,Patrol Black Edition,5.6L V8,5552.0,400.0,200.0,6.5,85000.0,Petrol,7,560.0,0,Medium (50k-100k)
Nissan,Ariya Empower+,Dual Electric Motors,87.0,389.0,200.0,5.1,68000.0,Electric,5,600.0,0,Medium (50k-100k)
Nissan,Datsun 510 (Classic),1.6L Inline-4,1595.0,96.0,175.0,10.2,25000.0,Petrol,4,135.0,2,Low (<50k)
Nissan,200SX,2.0L Turbo Inline-4,1998.0,200.0,240.0,7.2,30000.0,Petrol,4,265.0,2,Low (<50k)
Nissan,300ZX,3.0L Twin-Turbo V6,2960.0,300.0,250.0,5.9,50000.0,Petrol,4,384.0,0,Low (<50k)
Nissan,Figaro,1.0L Turbo Inline-4,987.0,76.0,170.0,12.8,20000.0,Petrol,4,103.0,2,Low (<50k)
Nissan,Hardbody Truck,2.4L Inline-4,2389.0,134.0,160.0,10.6,25000.0,Petrol,5,206.0,2,Low (<50k)
Nissan,NV200,2.0L Inline-4,1998.0,131.0,140.0,14.0,28000.0,Petrol,7,188.0,2,Low (<50k)
Nissan,Violet,1.8L Inline-4,1770.0,85.0,155.0,13.8,18000.0,Petrol,5,130.0,2,Low (<50k)
Nissan,Bluebird Z,2.0L Inline-4,1998.0,140.0,190.0,11.0,23000.0,Petrol,5,180.0,2,Low (<50k)
Nissan,Stanza Wagon,2.4L Inline-4,2389.0,138.0,160.0,12.0,22000.0,Petrol,7,205.0,2,Low (<50k)
Nissan,180SX,2.0L Turbo Inline-4,1998.0,205.0,240.0,6.8,35000.0,Petrol,4,275.0,2,Low (<50k)
Nissan,Sunny California,1.6L Inline-4,1597.0,110.0,170.0,11.0,18000.0,Petrol,5,140.0,2,Low (<50k)
Nissan,Patrol Warrior,5.6L V8,5552.0,428.0,205.0,6.3,95000.0,Petrol,7,580.0,0,Medium (50k-100k)
Nissan,Pathfinder Armada Platinum,5.6L V8,5552.0,400.0,190.0,6.8,70000.0,Petrol,7,560.0,0,Medium (50k-100k)
Nissan,Rogue Sport SL,2.0L Inline-4,1998.0,141.0,190.0,9.0,32000.0,Petrol,5,195.0,2,Low (<50k)
Nissan,X-Trail Platinum Edition,1.5L Turbo Hybrid,1497.0,204.0,190.0,8.0,46000.0,Hybrid,5,305.0,2,Low (<50k)
Nissan,Qashqai e-Power,1.5L Hybrid,1497.0,187.0,200.0,7.5,40000.0,Hybrid,5,330.0,2,Low (<50k)
Nissan,GT-R Egoist,3.8L Twin-Turbo V6,3799.0,565.0,315.0,2.8,220000.0,Petrol,2,637.0,1,Luxury (>200k)
Nissan,Infiniti M45*,4.5L V8,4494.0,325.0,250.0,5.8,50000.0,Petrol,5,451.0,0,Low (<50k)
Nissan,Skyline 50th Anniversary,3.0L Twin-Turbo V6,2997.0,400.0,250.0,4.5,75000.0,Petrol,5,475.0,0,Medium (50k-100k)
Nissan,Ariya Dual Motor AWD,Dual Electric Motors,87.0,389.0,200.0,5.1,70000.0,Electric,5,600.0,0,Medium (50k-100k)
Nissan,Patrol Legend Edition,5.6L V8,5552.0,428.0,205.0,6.3,95000.0,Petrol,7,580.0,0,Medium (50k-100k)
Nissan,Datsun 240Z (Classic),2.4L Inline-6,2393.0,151.0,210.0,8.0,45000.0,Petrol,2,198.0,2,Low (<50k)
Nissan,100NX,1.6L Inline-4,1597.0,110.0,185.0,9.6,18000.0,Petrol,4,135.0,2,Low (<50k)
Nissan,Cedric Special Edition,3.0L V6,2960.0,250.0,225.0,8.5,60000.0,Petrol,5,330.0,0,Medium (50k-100k)
Nissan,300ZX Turbo,3.0L Twin-Turbo V6,2960.0,300.0,250.0,5.9,55000.0,Petrol,4,384.0,0,Medium (50k-100k)
Nissan,Silvia S15 Spec-R,2.0L Turbo Inline-4,1998.0,250.0,240.0,5.6,35000.0,Petrol,4,300.0,0,Low (<50k)
Nissan,NV400,2.3L Inline-4 Diesel,2298.0,135.0,150.0,15.0,40000.0,Diesel,3,360.0,2,Low (<50k)
Nissan,Titan Warrior,5.6L V8,5552.0,400.0,180.0,7.0,55000.0,Petrol,5,560.0,0,Medium (50k-100k)
Nissan,Caravan Coach,2.5L Inline-4 Diesel,2498.0,127.0,140.0,14.0,30000.0,Diesel,7,260.0,2,Low (<50k)
Nissan,Serena e-Power,1.2L Hybrid,1198.0,134.0,160.0,12.0,35000.0,Hybrid,7,320.0,2,Low (<50k)
Nissan,Elgrand,3.5L V6,3498.0,280.0,200.0,8.5,50000.0,Petrol,7,344.0,0,Low (<50k)
Nissan,Datsun 510,1.6L Inline-4,1595.0,96.0,175.0,10.2,25000.0,Petrol,4,135.0,2,Low (<50k)
Nissan,Prairie,2.0L Inline-4,1998.0,120.0,175.0,11.0,18000.0,Petrol,5,170.0,2,Low (<50k)
Nissan,Pulsar GTI-R,2.0L Turbo Inline-4,1998.0,230.0,225.0,6.0,30000.0,Petrol,5,280.0,0,Low (<50k)
Nissan,Almera Tino,1.8L Inline-4,1769.0,114.0,180.0,12.5,15000.0,Petrol,5,160.0,2,Low (<50k)
Nissan,Lucino,1.6L Inline-4,1597.0,115.0,185.0,10.5,12000.0,Petrol,5,150.0,2,Low (<50k)
Nissan,Rasheen,1.5L Inline-4,1497.0,105.0,165.0,13.0,10000.0,Petrol,5,135.0,2,Low (<50k)
Nissan,Mistral,2.7L Turbo Diesel,2663.0,125.0,160.0,12.5,25000.0,Diesel,7,260.0,2,Low (<50k)
Nissan,Patrol Y60,4.2L Inline-6,4169.0,155.0,160.0,12.0,45000.0,Diesel,7,330.0,2,Low (<50k)
Nissan,X-Trail GT,2.0L Turbo Inline-4,1998.0,280.0,215.0,6.4,38000.0,Petrol,5,310.0,0,Low (<50k)
Nissan,Terrano Regulus,3.3L V6,3275.0,170.0,175.0,10.0,28000.0,Petrol,5,290.0,2,Low (<50k)
Nissan,President,4.5L V8,4494.0,280.0,210.0,7.5,70000.0,Petrol,5,400.0,0,Medium (50k-100k)
